"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"1","Site1_1929-12-01","Site1_1929-12-01_A18","Edgar Anderson","sepal length",5.1,"cm"
"2","Site1_1929-12-01","Site1_1929-12-01_A18","Edgar Anderson","sepal width",3.5,"cm"
"3","Site1_1929-12-01","Site1_1929-12-01_A18","Edgar Anderson","petal length",1.4,"cm"
"4","Site1_1929-12-01","Site1_1929-12-01_A18","Edgar Anderson","petal width",0.3,"cm"
"5","Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","sepal length",5.4,"cm"
"6","Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","sepal width",3.4,"cm"
"7","Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","petal length",1.7,"cm"
"8","Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","petal width",0.2,"cm"
"9","Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","sepal length",5.1,"cm"
"10","Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","sepal width",3.3,"cm"
"11","Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","petal length",1.7,"cm"
"12","Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","petal width",0.5,"cm"
"13","Site1_1929-12-01","Site1_1929-12-01_A27","Edgar Anderson","sepal length",5,"cm"
"14","Site1_1929-12-01","Site1_1929-12-01_A27","Edgar Anderson","sepal width",3.4,"cm"
"15","Site1_1929-12-01","Site1_1929-12-01_A27","Edgar Anderson","petal length",1.6,"cm"
"16","Site1_1929-12-01","Site1_1929-12-01_A27","Edgar Anderson","petal width",0.4,"cm"
"17","Site1_1929-12-01","Site1_1929-12-01_A30","Edgar Anderson","sepal length",4.7,"cm"
"18","Site1_1929-12-01","Site1_1929-12-01_A30","Edgar Anderson","sepal width",3.2,"cm"
"19","Site1_1929-12-01","Site1_1929-12-01_A30","Edgar Anderson","petal length",1.6,"cm"
"20","Site1_1929-12-01","Site1_1929-12-01_A30","Edgar Anderson","petal width",0.2,"cm"
"21","Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","sepal length",5.2,"cm"
"22","Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","sepal width",4.1,"cm"
"23","Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","petal length",1.5,"cm"
"24","Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","petal width",0.1,"cm"
"25","Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","sepal length",5,"cm"
"26","Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","sepal width",3.2,"cm"
"27","Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","petal length",1.2,"cm"
"28","Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","petal width",0.2,"cm"
"29","Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","sepal length",4.4,"cm"
"30","Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","sepal width",3,"cm"
"31","Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","petal length",1.3,"cm"
"32","Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","petal width",0.2,"cm"
"33","Site1_1929-12-01","Site1_1929-12-01_A42","Edgar Anderson","sepal length",4.5,"cm"
"34","Site1_1929-12-01","Site1_1929-12-01_A42","Edgar Anderson","sepal width",2.3,"cm"
"35","Site1_1929-12-01","Site1_1929-12-01_A42","Edgar Anderson","petal length",1.3,"cm"
"36","Site1_1929-12-01","Site1_1929-12-01_A42","Edgar Anderson","petal width",0.3,"cm"
"37","Site1_1929-12-01","Site1_1929-12-01_A45","Edgar Anderson","sepal length",5.1,"cm"
"38","Site1_1929-12-01","Site1_1929-12-01_A45","Edgar Anderson","sepal width",3.8,"cm"
"39","Site1_1929-12-01","Site1_1929-12-01_A45","Edgar Anderson","petal length",1.9,"cm"
"40","Site1_1929-12-01","Site1_1929-12-01_A45","Edgar Anderson","petal width",0.4,"cm"
"41","Site1_1929-12-01","Site1_1929-12-01_A48","Edgar Anderson","sepal length",4.6,"cm"
"42","Site1_1929-12-01","Site1_1929-12-01_A48","Edgar Anderson","sepal width",3.2,"cm"
"43","Site1_1929-12-01","Site1_1929-12-01_A48","Edgar Anderson","petal length",1.4,"cm"
"44","Site1_1929-12-01","Site1_1929-12-01_A48","Edgar Anderson","petal width",0.2,"cm"
"45","Site1_1929-12-01","Site1_1929-12-01_A51","Edgar Anderson","sepal length",7,"cm"
"46","Site1_1929-12-01","Site1_1929-12-01_A51","Edgar Anderson","sepal width",3.2,"cm"
"47","Site1_1929-12-01","Site1_1929-12-01_A51","Edgar Anderson","petal length",4.7,"cm"
"48","Site1_1929-12-01","Site1_1929-12-01_A51","Edgar Anderson","petal width",1.4,"cm"
"49","Site1_1929-12-01","Site1_1929-12-01_A54","Edgar Anderson","sepal length",5.5,"cm"
"50","Site1_1929-12-01","Site1_1929-12-01_A54","Edgar Anderson","sepal width",2.3,"cm"
"51","Site1_1929-12-01","Site1_1929-12-01_A54","Edgar Anderson","petal length",4,"cm"
"52","Site1_1929-12-01","Site1_1929-12-01_A54","Edgar Anderson","petal width",1.3,"cm"
"53","Site1_1929-12-01","Site1_1929-12-01_A57","Edgar Anderson","sepal length",6.3,"cm"
"54","Site1_1929-12-01","Site1_1929-12-01_A57","Edgar Anderson","sepal width",3.3,"cm"
"55","Site1_1929-12-01","Site1_1929-12-01_A57","Edgar Anderson","petal length",4.7,"cm"
"56","Site1_1929-12-01","Site1_1929-12-01_A57","Edgar Anderson","petal width",1.6,"cm"
"57","Site1_1929-12-01","Site1_1929-12-01_A60","Edgar Anderson","sepal length",5.2,"cm"
"58","Site1_1929-12-01","Site1_1929-12-01_A60","Edgar Anderson","sepal width",2.7,"cm"
"59","Site1_1929-12-01","Site1_1929-12-01_A60","Edgar Anderson","petal length",3.9,"cm"
"60","Site1_1929-12-01","Site1_1929-12-01_A60","Edgar Anderson","petal width",1.4,"cm"
"61","Site1_1929-12-01","Site1_1929-12-01_A63","Edgar Anderson","sepal length",6,"cm"
"62","Site1_1929-12-01","Site1_1929-12-01_A63","Edgar Anderson","sepal width",2.2,"cm"
"63","Site1_1929-12-01","Site1_1929-12-01_A63","Edgar Anderson","petal length",4,"cm"
"64","Site1_1929-12-01","Site1_1929-12-01_A63","Edgar Anderson","petal width",1,"cm"
"65","Site1_1929-12-01","Site1_1929-12-01_A66","Edgar Anderson","sepal length",6.7,"cm"
"66","Site1_1929-12-01","Site1_1929-12-01_A66","Edgar Anderson","sepal width",3.1,"cm"
"67","Site1_1929-12-01","Site1_1929-12-01_A66","Edgar Anderson","petal length",4.4,"cm"
"68","Site1_1929-12-01","Site1_1929-12-01_A66","Edgar Anderson","petal width",1.4,"cm"
"69","Site1_1929-12-01","Site1_1929-12-01_A69","Edgar Anderson","sepal length",6.2,"cm"
"70","Site1_1929-12-01","Site1_1929-12-01_A69","Edgar Anderson","sepal width",2.2,"cm"
"71","Site1_1929-12-01","Site1_1929-12-01_A69","Edgar Anderson","petal length",4.5,"cm"
"72","Site1_1929-12-01","Site1_1929-12-01_A69","Edgar Anderson","petal width",1.5,"cm"
"73","Site1_1929-12-01","Site1_1929-12-01_A72","Edgar Anderson","sepal length",6.1,"cm"
"74","Site1_1929-12-01","Site1_1929-12-01_A72","Edgar Anderson","sepal width",2.8,"cm"
"75","Site1_1929-12-01","Site1_1929-12-01_A72","Edgar Anderson","petal length",4,"cm"
"76","Site1_1929-12-01","Site1_1929-12-01_A72","Edgar Anderson","petal width",1.3,"cm"
"77","Site1_1929-12-01","Site1_1929-12-01_A75","Edgar Anderson","sepal length",6.4,"cm"
"78","Site1_1929-12-01","Site1_1929-12-01_A75","Edgar Anderson","sepal width",2.9,"cm"
"79","Site1_1929-12-01","Site1_1929-12-01_A75","Edgar Anderson","petal length",4.3,"cm"
"80","Site1_1929-12-01","Site1_1929-12-01_A75","Edgar Anderson","petal width",1.3,"cm"
"81","Site1_1929-12-01","Site1_1929-12-01_A78","Edgar Anderson","sepal length",6.7,"cm"
"82","Site1_1929-12-01","Site1_1929-12-01_A78","Edgar Anderson","sepal width",3,"cm"
"83","Site1_1929-12-01","Site1_1929-12-01_A78","Edgar Anderson","petal length",5,"cm"
"84","Site1_1929-12-01","Site1_1929-12-01_A78","Edgar Anderson","petal width",1.7,"cm"
"85","Site1_1929-12-01","Site1_1929-12-01_A81","Edgar Anderson","sepal length",5.5,"cm"
"86","Site1_1929-12-01","Site1_1929-12-01_A81","Edgar Anderson","sepal width",2.4,"cm"
"87","Site1_1929-12-01","Site1_1929-12-01_A81","Edgar Anderson","petal length",3.8,"cm"
"88","Site1_1929-12-01","Site1_1929-12-01_A81","Edgar Anderson","petal width",1.1,"cm"
"89","Site1_1929-12-01","Site1_1929-12-01_A84","Edgar Anderson","sepal length",6,"cm"
"90","Site1_1929-12-01","Site1_1929-12-01_A84","Edgar Anderson","sepal width",2.7,"cm"
"91","Site1_1929-12-01","Site1_1929-12-01_A84","Edgar Anderson","petal length",5.1,"cm"
"92","Site1_1929-12-01","Site1_1929-12-01_A84","Edgar Anderson","petal width",1.6,"cm"
"93","Site1_1929-12-01","Site1_1929-12-01_A87","Edgar Anderson","sepal length",6.7,"cm"
"94","Site1_1929-12-01","Site1_1929-12-01_A87","Edgar Anderson","sepal width",3.1,"cm"
"95","Site1_1929-12-01","Site1_1929-12-01_A87","Edgar Anderson","petal length",4.7,"cm"
"96","Site1_1929-12-01","Site1_1929-12-01_A87","Edgar Anderson","petal width",1.5,"cm"
"97","Site1_1929-12-01","Site1_1929-12-01_A90","Edgar Anderson","sepal length",5.5,"cm"
"98","Site1_1929-12-01","Site1_1929-12-01_A90","Edgar Anderson","sepal width",2.5,"cm"
"99","Site1_1929-12-01","Site1_1929-12-01_A90","Edgar Anderson","petal length",4,"cm"
