"eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"Site1_1929-12-01","Site1_1929-12-01_A18","Edgar Anderson","sepal length",5.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A18","Edgar Anderson","sepal width",3.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A18","Edgar Anderson","petal length",1.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A18","Edgar Anderson","petal width",0.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","sepal length",5.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","sepal width",3.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","petal length",1.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A21","Edgar Anderson","petal width",0.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","sepal length",5.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","sepal width",3.3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","petal length",1.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A24","Edgar Anderson","petal width",0.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A27","Edgar Anderson","sepal length",5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A27","Edgar Anderson","sepal width",3.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A27","Edgar Anderson","petal length",1.6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A27","Edgar Anderson","petal width",0.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A30","Edgar Anderson","sepal length",4.7,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A30","Edgar Anderson","sepal width",3.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A30","Edgar Anderson","petal length",1.6,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A30","Edgar Anderson","petal width",0.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","sepal length",5.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","sepal width",4.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","petal length",1.5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A33","Edgar Anderson","petal width",0.1,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","sepal length",5,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","sepal width",3.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","petal length",1.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A36","Edgar Anderson","petal width",0.2,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","sepal length",4.4,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","sepal width",3,"cm"
"Site1_1929-12-01","Site1_1929-12-01_A39","Edgar Anderson","petal length",1.3,"cm"
